concept_id,angle_id,copy_revision,visual_id,lp_id,clean_url,proposed_ad_url,message_match_status,destination_status
,DSCR-A019,R01,,DSCR-LP001,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A019_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A020,R01,,DSCR-LP001,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A020_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A021,R01,,DSCR-LP011,https://stonehavencre.com/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A021_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A022,R01,,DSCR-LP010,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A022_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A023,R01,,DSCR-LP014,https://stonehavencre.com/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A023_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A024,R01,,DSCR-LP013,https://stonehavencre.com/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A024_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A025,R01,,DSCR-LP012,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A025_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A026,R01,,DSCR-LP017,https://stonehavencre.com/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A026_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A027,R01,,DSCR-LP018,https://stonehavencre.com/es/dscr,https://stonehavencre.com/es/dscr?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A027_R01_V01_ES,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A028,R01,,DSCR-LP010,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A028_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A029,R01,,DSCR-LP003,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A029_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
,DSCR-A030,R01,,DSCR-LP009,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A030_R01_V01_EN,MAPPED (no developed concept yet; do not fabricate),"PROPOSED (branch build, not deployed)"
