destination_id,product,audience_or_variant,language,clean_url,ad_url_with_utms,status
DSCR-A008,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A008_R01_V01_EN,LIVE
DSCR-A009,DSCR,Cash buyers refinancing,EN,https://stonehavencre.com/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A009_R01_V01_EN,LIVE
DSCR-A010,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A010_R01_V01_EN,LIVE
DSCR-A011,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A011_R01_V01_EN,LIVE
DSCR-A012,DSCR,BRRRR refinance planning,EN,https://stonehavencre.com/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A012_R01_V01_EN,LIVE
DSCR-A013,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A013_R01_V01_EN,LIVE
DSCR-A014,DSCR,Bridge and hard-money refinance,EN,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A014_R01_V01_EN,LIVE
DSCR-A015,DSCR,Rate-and-term refinance,EN,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A015_R01_V01_EN,LIVE
DSCR-A016,DSCR,Hold-or-sell decisions,EN,https://stonehavencre.com/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A016_R01_V01_EN,LIVE
DSCR-A017,DSCR,Out-of-state investors,EN,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A017_R01_V01_EN,LIVE
DSCR-A018,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A018_R01_V01_EN,LIVE
DSCR-A019,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A019_R01_V01_EN,LIVE
DSCR-A020,DSCR,Experienced landlords,EN,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A020_R01_V01_EN,LIVE
DSCR-A021,DSCR,Short-term rental operators,EN,https://stonehavencre.com/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A021_R01_V01_EN,LIVE
DSCR-A022,DSCR,Long-term rental owners,EN,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A022_R01_V01_EN,LIVE
DSCR-A023,DSCR,2-4 unit investors,EN,https://stonehavencre.com/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A023_R01_V01_EN,LIVE
DSCR-A024,DSCR,LLC and partnership owners,EN,https://stonehavencre.com/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A024_R01_V01_EN,LIVE
DSCR-A025,DSCR,Rate-and-term refinance,EN,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A025_R01_V01_EN,LIVE
DSCR-A026,DSCR,Veteran investors,EN,https://stonehavencre.com/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A026_R01_V01_EN,LIVE
DSCR-A027,DSCR,Spanish-preferring investors,ES,https://stonehavencre.com/es/dscr,https://stonehavencre.com/es/dscr?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A027_R01_V01_ES,LIVE
DSCR-A028,DSCR,Long-term rental owners,EN,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A028_R01_V01_EN,LIVE
DSCR-A029,DSCR,Rental cash-out refinance,EN,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A029_R01_V01_EN,LIVE
DSCR-A030,DSCR,Portfolio growth,EN,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A030_R01_V01_EN,LIVE
HELOC-AD-no-credit-hit-check,HELOC,NO CREDIT HIT CHECK,EN,https://stonehavencre.com/heloc/no-credit-impact,https://stonehavencre.com/heloc/no-credit-impact?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=no-credit-hit-check,LIVE
HELOC-AD-fico-floor,HELOC,FICO FLOOR,EN,https://stonehavencre.com/heloc/terms-stated-plainly,https://stonehavencre.com/heloc/terms-stated-plainly?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=fico-floor,LIVE
HELOC-AD-amount-ladder,HELOC,AMOUNT LADDER,EN,https://stonehavencre.com/heloc/how-much-equity,https://stonehavencre.com/heloc/how-much-equity?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=amount-ladder,LIVE
HELOC-AD-home-improvement,HELOC,HOME IMPROVEMENT,EN,https://stonehavencre.com/heloc/renovate-keep-your-rate,https://stonehavencre.com/heloc/renovate-keep-your-rate?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=home-improvement,LIVE
HELOC-AD-avm-speed,HELOC,AVM SPEED,EN,https://stonehavencre.com/heloc/home-value-estimate,https://stonehavencre.com/heloc/home-value-estimate?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=avm-speed,LIVE
HELOC-AD-veteran-equity,HELOC,VETERAN EQUITY,EN,https://stonehavencre.com/heloc/veteran-equity,https://stonehavencre.com/heloc/veteran-equity?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=veteran-equity,LIVE
HELOC-AD-debt-consolidation,HELOC,DEBT CONSOLIDATION,EN,https://stonehavencre.com/heloc/one-payment,https://stonehavencre.com/heloc/one-payment?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=debt-consolidation&intent=consolidation,LIVE
HELOC-AD-explainer,HELOC,EXPLAINER,EN,https://stonehavencre.com/heloc/cash-out-refi-or-heloc,https://stonehavencre.com/heloc/cash-out-refi-or-heloc?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=explainer,LIVE
HELOC-AD-lock-in-hero,HELOC,LOCK IN HERO,EN,https://stonehavencre.com/heloc/keep-your-rate,https://stonehavencre.com/heloc/keep-your-rate?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=lock-in-hero,LIVE
