concept_id,angle_or_content_id,product,subsection_or_variant,language,lp_id,final_path,clean_url,proposed_ad_url,message_match_status,destination_status
,HELOC-contractor-quotes-con,HELOC,Homeowners holding renovation quotes / consolidation,EN,,/heloc/contractor-quotes,https://stonehavencre.com/heloc/contractor-quotes,https://stonehavencre.com/heloc/contractor-quotes?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=contractor-quotes-con,MATCHED (H1 per intent),LIVE
,HELOC-unfinished-projects-ren,HELOC,DIY renovators mid-project / renovation,EN,,/heloc/unfinished-projects,https://stonehavencre.com/heloc/unfinished-projects,https://stonehavencre.com/heloc/unfinished-projects?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=unfinished-projects-ren,MATCHED (H1 per intent),LIVE
,HELOC-unfinished-projects-con,HELOC,DIY renovators mid-project / consolidation,EN,,/heloc/unfinished-projects,https://stonehavencre.com/heloc/unfinished-projects,https://stonehavencre.com/heloc/unfinished-projects?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=unfinished-projects-con,MATCHED (H1 per intent),LIVE
,HELOC-someday-project-ren,HELOC,Homeowners with a postponed project / renovation,EN,,/heloc/someday-project,https://stonehavencre.com/heloc/someday-project,https://stonehavencre.com/heloc/someday-project?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=someday-project-ren,MATCHED (H1 per intent),LIVE
,HELOC-someday-project-con,HELOC,Homeowners with a postponed project / consolidation,EN,,/heloc/someday-project,https://stonehavencre.com/heloc/someday-project,https://stonehavencre.com/heloc/someday-project?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=someday-project-con,MATCHED (H1 per intent),LIVE
,HELOC-self-employed-homeowners-ren,HELOC,Self-employed homeowners / renovation,EN,,/heloc/self-employed-homeowners,https://stonehavencre.com/heloc/self-employed-homeowners,https://stonehavencre.com/heloc/self-employed-homeowners?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=self-employed-homeowners-ren,MATCHED (H1 per intent),LIVE
,HELOC-self-employed-homeowners-con,HELOC,Self-employed homeowners / consolidation,EN,,/heloc/self-employed-homeowners,https://stonehavencre.com/heloc/self-employed-homeowners,https://stonehavencre.com/heloc/self-employed-homeowners?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=self-employed-homeowners-con,MATCHED (H1 per intent),LIVE
,HELOC-first-home-upgrades-ren,HELOC,Recent first-time homeowners / renovation,EN,,/heloc/first-home-upgrades,https://stonehavencre.com/heloc/first-home-upgrades,https://stonehavencre.com/heloc/first-home-upgrades?intent=renovation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=first-home-upgrades-ren,MATCHED (H1 per intent),LIVE
,HELOC-first-home-upgrades-con,HELOC,Recent first-time homeowners / consolidation,EN,,/heloc/first-home-upgrades,https://stonehavencre.com/heloc/first-home-upgrades,https://stonehavencre.com/heloc/first-home-upgrades?intent=consolidation&utm_source=facebook&utm_medium=paid&utm_campaign=heloc_personas&utm_content=first-home-upgrades-con,MATCHED (H1 per intent),LIVE
C01,DSCR-A001,DSCR,Experienced landlords,EN,DSCR-LP001,/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A001_R01_V01_EN,MATCHED (developed concept),LIVE
C05,DSCR-A002,DSCR,First-time rental investors,EN,DSCR-LP005,/dscr/first-time-investors,https://stonehavencre.com/dscr/first-time-investors,https://stonehavencre.com/dscr/first-time-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A002_R01_V01_EN,MATCHED (developed concept),LIVE
C04,DSCR-A003,DSCR,Self-employed investors,EN,DSCR-LP004,/dscr/self-employed-investors,https://stonehavencre.com/dscr/self-employed-investors,https://stonehavencre.com/dscr/self-employed-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A003_R01_V01_EN,MATCHED (developed concept),LIVE
,DSCR-A004,DSCR,Working professionals,EN,DSCR-LP007,/dscr/working-professionals,https://stonehavencre.com/dscr/working-professionals,https://stonehavencre.com/dscr/working-professionals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A004_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A005,DSCR,Out-of-state investors,EN,DSCR-LP008,/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A005_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A006,DSCR,Portfolio growth,EN,DSCR-LP009,/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A006_R01_V01_EN,MAPPED (no developed creative yet),LIVE
C02,DSCR-A007,DSCR,Rental cash-out refinance,EN,DSCR-LP003,/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A007_R01_V01_EN,MATCHED (developed concept),LIVE
,DSCR-A008,DSCR,Rental cash-out refinance,EN,DSCR-LP003,/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A008_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A009,DSCR,Cash buyers refinancing,EN,DSCR-LP015,/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A009_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A010,DSCR,Rental cash-out refinance,EN,DSCR-LP003,/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A010_R01_V01_EN,MAPPED (no developed creative yet),LIVE
C03,DSCR-A011,DSCR,Bridge and hard-money refinance,EN,DSCR-LP002,/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A011_R01_V01_EN,MATCHED (developed concept),LIVE
,DSCR-A012,DSCR,BRRRR refinance planning,EN,DSCR-LP006,/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A012_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A013,DSCR,Bridge and hard-money refinance,EN,DSCR-LP002,/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A013_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A014,DSCR,Bridge and hard-money refinance,EN,DSCR-LP002,/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A014_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A015,DSCR,Rate-and-term refinance,EN,DSCR-LP012,/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A015_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A016,DSCR,Hold-or-sell decisions,EN,DSCR-LP016,/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A016_R01_V01_EN,MAPPED (no developed creative yet),LIVE
C06,DSCR-A017,DSCR,Out-of-state investors,EN,DSCR-LP008,/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A017_R01_V01_EN,MATCHED (developed concept),LIVE
,DSCR-A018,DSCR,Experienced landlords,EN,DSCR-LP001,/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A018_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A019,DSCR,Experienced landlords,EN,DSCR-LP001,/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A019_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A020,DSCR,Experienced landlords,EN,DSCR-LP001,/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A020_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A021,DSCR,Short-term rental operators,EN,DSCR-LP011,/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A021_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A022,DSCR,Long-term rental owners,EN,DSCR-LP010,/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A022_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A023,DSCR,2-4 unit investors,EN,DSCR-LP014,/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A023_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A024,DSCR,LLC and partnership owners,EN,DSCR-LP013,/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A024_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A025,DSCR,Rate-and-term refinance,EN,DSCR-LP012,/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A025_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A026,DSCR,Veteran investors,EN,DSCR-LP017,/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A026_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A027,DSCR,Spanish-preferring investors,ES,DSCR-LP018,/es/dscr,https://stonehavencre.com/es/dscr,https://stonehavencre.com/es/dscr?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A027_R01_V01_ES,MAPPED (no developed creative yet),LIVE
,DSCR-A028,DSCR,Long-term rental owners,EN,DSCR-LP010,/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A028_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A029,DSCR,Rental cash-out refinance,EN,DSCR-LP003,/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A029_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,DSCR-A030,DSCR,Portfolio growth,EN,DSCR-LP009,/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth?utm_source=facebook&utm_medium=paid&utm_campaign=dscr_personas&utm_content=DSCR-A030_R01_V01_EN,MAPPED (no developed creative yet),LIVE
,HELOC-AD-no-credit-hit-check,HELOC,NO CREDIT HIT CHECK,EN,,/heloc/no-credit-impact,https://stonehavencre.com/heloc/no-credit-impact,https://stonehavencre.com/heloc/no-credit-impact?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=no-credit-hit-check,MATCHED (hero = ad headline),LIVE
,HELOC-AD-fico-floor,HELOC,FICO FLOOR,EN,,/heloc/terms-stated-plainly,https://stonehavencre.com/heloc/terms-stated-plainly,https://stonehavencre.com/heloc/terms-stated-plainly?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=fico-floor,MATCHED (hero = ad headline),LIVE
,HELOC-AD-amount-ladder,HELOC,AMOUNT LADDER,EN,,/heloc/how-much-equity,https://stonehavencre.com/heloc/how-much-equity,https://stonehavencre.com/heloc/how-much-equity?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=amount-ladder,MATCHED (hero = ad headline),LIVE
,HELOC-AD-home-improvement,HELOC,HOME IMPROVEMENT,EN,,/heloc/renovate-keep-your-rate,https://stonehavencre.com/heloc/renovate-keep-your-rate,https://stonehavencre.com/heloc/renovate-keep-your-rate?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=home-improvement,MATCHED (hero = ad headline),LIVE
,HELOC-AD-veteran-equity,HELOC,VETERAN EQUITY,EN,,/heloc/veteran-equity,https://stonehavencre.com/heloc/veteran-equity,https://stonehavencre.com/heloc/veteran-equity?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=veteran-equity,MATCHED (hero = ad headline),LIVE
,HELOC-AD-debt-consolidation,HELOC,DEBT CONSOLIDATION,EN,,/heloc/one-payment,https://stonehavencre.com/heloc/one-payment,https://stonehavencre.com/heloc/one-payment?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=debt-consolidation&intent=consolidation,MATCHED (hero = ad headline),LIVE
,HELOC-AD-explainer,HELOC,EXPLAINER,EN,,/heloc/cash-out-refi-or-heloc,https://stonehavencre.com/heloc/cash-out-refi-or-heloc,https://stonehavencre.com/heloc/cash-out-refi-or-heloc?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=explainer,MATCHED (hero = ad headline),LIVE
,HELOC-AD-lock-in-hero,HELOC,LOCK IN HERO,EN,,/heloc/keep-your-rate,https://stonehavencre.com/heloc/keep-your-rate,https://stonehavencre.com/heloc/keep-your-rate?utm_source=facebook&utm_medium=paid&utm_campaign=heloc_new_lps&utm_content=lock-in-hero,MATCHED (hero = ad headline),LIVE
